ProcessGroup,Process,CommodityOut,SectorGroup,Sector,EnduseGroup,EndUse,TechnologyGroup,Technology
Demand,C_HLTH-WH-DirectH-GEO,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Direct Heat
Demand,C_HLTH-SH-GHP-ELC,C_HLTH-SH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
Demand,C_HLTH-WH-AIRHP-ELC,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump (for Heating)
Demand,C_HLTH-WH-GHP-ELC,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
Demand,C_HLTH-WH-Cylinder-NGA,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_HLTH-WH-Cylinder-LPG,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_HLTH-WH-Instant-NGA,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_HLTH-WH-Instant-LPG,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_HLTH-WH-Instant-ELC,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_HLTH-MPM-MPM-PET,C_HLTH-MPM,Commercial,Healthcare,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_HLTH-MPM-MPM-LPG,C_HLTH-MPM,Commercial,Healthcare,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_HLTH-MPM-MPM-ELC,C_HLTH-MPM,Commercial,Healthcare,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_HLTH-MPM-MPM-H2R,C_HLTH-MPM,Commercial,Healthcare,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_HLTH-MPS-MPS-DSL,C_HLTH-MPS,Commercial,Healthcare,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_HLTH-MPS-MPS-PET,C_HLTH-MPS,Commercial,Healthcare,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_HLTH-MPS-MPS-LPG,C_HLTH-MPS,Commercial,Healthcare,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_HLTH-MPS-MPS-H2R,C_HLTH-MPS,Commercial,Healthcare,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_HLTH-SC-GHP-ELC,C_HLTH-SC,Commercial,Healthcare,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump Ground Source (for Cooling)
Demand,C_OFFC-SH-Boiler-LPG,C_OFFC-SH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-SH-Boiler-WOD,C_OFFC-SH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-SH-Boiler-PLT,C_OFFC-SH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-SH-Boiler-ELC,C_OFFC-SH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-SH-Boiler-BIG,C_OFFC-SH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-SH-Boiler-H2R,C_OFFC-SH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-WH-Boiler-LPG,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-WH-Boiler-NGA,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-WH-Boiler-WOD,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-WH-Boiler-PLT,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-WH-Boiler-ELC,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-WH-Boiler-BIG,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-WH-Boiler-H2R,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-SH-GHP-ELC,C_OFFC-SH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
Demand,C_OFFC-WH-GHP-ELC,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
Demand,C_OFFC-WH-Cylinder-LPG,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_OFFC-WH-Instant-NGA,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_OFFC-WH-Instant-LPG,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_OFFC-WH-Instant-ELC,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_OFFC-MPM-MPM-PET,C_OFFC-MPM,Commercial,Office Blocks,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_OFFC-MPM-MPM-ELC,C_OFFC-MPM,Commercial,Office Blocks,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_OFFC-MPM-MPM-H2R,C_OFFC-MPM,Commercial,Office Blocks,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_OFFC-MPS-MPS-DSL,C_OFFC-MPS,Commercial,Office Blocks,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_OFFC-MPS-MPS-PET,C_OFFC-MPS,Commercial,Office Blocks,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_OFFC-MPS-MPS-LPG,C_OFFC-MPS,Commercial,Office Blocks,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_OFFC-MPS-MPS-H2R,C_OFFC-MPS,Commercial,Office Blocks,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_OFFC-SC-GHP-ELC,C_OFFC-SC,Commercial,Office Blocks,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump Ground Source (for Cooling)
Demand,C_WSR-CK-Induction-ELC,C_WSR-CK,Commercial,WSR,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Heat/Cooling Devices,Cooking Inductions
Demand,C_WSR-CK-CK-NGA,C_WSR-CK,Commercial,WSR,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Heat/Cooling Devices,Cooking Elements
Demand,C_WSR-CK-CK-LPG,C_WSR-CK,Commercial,WSR,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Heat/Cooling Devices,Cooking Elements
Demand,C_WSR-CK-CK-H2R,C_WSR-CK,Commercial,WSR,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Heat/Cooling Devices,Cooking Elements
Demand,C_WSR-CK-Ovens-H2R,C_WSR-CK,Commercial,WSR,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Heat/Cooling Devices,Cooking Ovens
Demand,C_WSR-SH-Boiler-WOD,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-SH-Boiler-PLT,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-SH-Boiler-ELC,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-SH-Boiler-BIG,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-SH-Boiler-H2R,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-WH-Boiler-LPG,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-WH-Boiler-NGA,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-WH-Boiler-WOD,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-WH-Boiler-PLT,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-WH-Boiler-ELC,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-WH-Boiler-BIG,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-WH-Boiler-H2R,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-SH-GHP-ELC,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
Demand,C_WSR-WH-AirHP-ELC,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump (for Heating)
Demand,C_WSR-WH-GHP-ELC,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
Demand,C_WSR-WH-Cylinder-LPG,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_WSR-WH-Instant-NGA,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_WSR-WH-Instant-LPG,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_WSR-WH-Instant-ELC,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_WSR-MPM-MPM-PET,C_WSR-MPM,Commercial,WSR,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_WSR-MPM-MPM-ELC,C_WSR-MPM,Commercial,WSR,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_WSR-MPM-MPM-H2R,C_WSR-MPM,Commercial,WSR,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_WSR-MPS-MPS-DSL,C_WSR-MPS,Commercial,WSR,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_WSR-MPS-MPS-PET,C_WSR-MPS,Commercial,WSR,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_WSR-MPS-MPS-LPG,C_WSR-MPS,Commercial,WSR,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_WSR-MPS-MPS-H2R,C_WSR-MPS,Commercial,WSR,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_WSR-SC-GHP-ELC,C_WSR-SC,Commercial,WSR,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump Ground Source (for Cooling)
Demand,C_OTH-SH-Boiler-LPG,C_OTH-SH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-SH-Boiler-WOD,C_OTH-SH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-SH-Boiler-PLT,C_OTH-SH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-SH-Boiler-ELC,C_OTH-SH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-SH-Boiler-BIG,C_OTH-SH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-SH-Boiler-H2R,C_OTH-SH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-WH-Boiler-LPG,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-WH-Boiler-NGA,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-WH-Boiler-WOD,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-WH-Boiler-PLT,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-WH-Boiler-ELC,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-WH-Boiler-BIG,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-WH-Boiler-H2R,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-SH-GHP-ELC,C_OTH-SH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
Demand,C_OTH-WH-AirHP-ELC,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump (for Heating)
Demand,C_OTH-WH-GHP-ELC,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
Demand,C_OTH-WH-Cylinder-LPG,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_OTH-WH-Instant-NGA,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_OTH-WH-Instant-LPG,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_OTH-WH-Instant-ELC,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_OTH-MPM-MPM-LPG,C_OTH-MPM,Commercial,Other,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_OTH-MPM-MPM-ELC,C_OTH-MPM,Commercial,Other,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_OTH-MPM-MPM-H2R,C_OTH-MPM,Commercial,Other,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_OTH-MPS-MPS-DSL,C_OTH-MPS,Commercial,Other,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_OTH-MPS-MPS-PET,C_OTH-MPS,Commercial,Other,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_OTH-MPS-MPS-LPG,C_OTH-MPS,Commercial,Other,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_OTH-MPS-MPS-H2R,C_OTH-MPS,Commercial,Other,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_OTH-SC-GHP-ELC,C_OTH-SC,Commercial,Other,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump Ground Source (for Cooling)
Demand,C_DATA-SC-GHP-ELC,C_DATA-SC,Commercial,Data Centre,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump Ground Source (for Cooling)
Demand,T_P_CICEPET_LOW,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Internal Combustion Engine,Internal Combustion Engine (Petrol)
Demand,T_P_CICEPET_MED,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Internal Combustion Engine,Internal Combustion Engine (Petrol)
Demand,T_P_CICEPET_HIGH,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Internal Combustion Engine,Internal Combustion Engine (Petrol)
Demand,T_P_CICEDSL_LOW,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Internal Combustion Engine,Internal Combustion Engine (Diesel)
Demand,T_P_CICEDSL_MED,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Internal Combustion Engine,Internal Combustion Engine (Diesel)
Demand,T_P_CICEDSL_HIGH,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Internal Combustion Engine,Internal Combustion Engine (Diesel)
Demand,T_P_CBEVNEW_LOW,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_P_CBEVNEW_MED,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_P_CBEVNEW_HIGH,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_P_CBEVUSD_LOW,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_P_CBEVUSD_MED,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_P_CBEVUSD_HIGH,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_P_CICELPG_LOW,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Internal Combustion Engine,Internal Combustion Engine (LPG)
Demand,T_P_CICELPG_MED,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Internal Combustion Engine,Internal Combustion Engine (LPG)
Demand,T_P_CICELPG_HIGH,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Internal Combustion Engine,Internal Combustion Engine (LPG)
Demand,T_P_CHYBPET_LOW,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Hybrid Vehicle,Hybrid Vehicle (Petrol)
Demand,T_P_CHYBPET_MED,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Hybrid Vehicle,Hybrid Vehicle (Petrol)
Demand,T_P_CHYBPET_HIGH,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Hybrid Vehicle,Hybrid Vehicle (Petrol)
Demand,T_P_CPHEVPET_LOW,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Plug-in Hybrid Vehicle,Plug-in Hybrid Vehicle (Petrol)
Demand,T_P_CPHEVBEV_LOW,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_P_CPHEVPET_MED,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Plug-in Hybrid Vehicle,Plug-in Hybrid Vehicle (Petrol)
Demand,T_P_CPHEVBEV_MED,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_P_CPHEVPET_HIGH,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Plug-in Hybrid Vehicle,Plug-in Hybrid Vehicle (Petrol)
Demand,T_P_CPHEVBEV_HIGH,T_P_Car,Transport,Road Transport,Light vehicles,Light Passenger Vehicle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_C_CICEPET_LOW,T_C_Car,Transport,Road Transport,Light vehicles,Light Commercial Vehicle,Internal Combustion Engine,Internal Combustion Engine (Petrol)
Demand,T_C_CICEPET_MED,T_C_Car,Transport,Road Transport,Light vehicles,Light Commercial Vehicle,Internal Combustion Engine,Internal Combustion Engine (Petrol)
Demand,T_C_CICEPET_HIGH,T_C_Car,Transport,Road Transport,Light vehicles,Light Commercial Vehicle,Internal Combustion Engine,Internal Combustion Engine (Petrol)
Demand,T_C_CICEDSL_LOW,T_C_Car,Transport,Road Transport,Light vehicles,Light Commercial Vehicle,Internal Combustion Engine,Internal Combustion Engine (Diesel)
Demand,T_C_CICEDSL_MED,T_C_Car,Transport,Road Transport,Light vehicles,Light Commercial Vehicle,Internal Combustion Engine,Internal Combustion Engine (Diesel)
Demand,T_C_CICEDSL_HIGH,T_C_Car,Transport,Road Transport,Light vehicles,Light Commercial Vehicle,Internal Combustion Engine,Internal Combustion Engine (Diesel)
Demand,T_C_CBEVNEW_LOW,T_C_Car,Transport,Road Transport,Light vehicles,Light Commercial Vehicle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_C_CBEVNEW_MED,T_C_Car,Transport,Road Transport,Light vehicles,Light Commercial Vehicle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_C_CBEVNEW_HIGH,T_C_Car,Transport,Road Transport,Light vehicles,Light Commercial Vehicle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_C_CICELPG_LOW,T_C_Car,Transport,Road Transport,Light vehicles,Light Commercial Vehicle,Internal Combustion Engine,Internal Combustion Engine (LPG)
Demand,T_C_CICELPG_MED,T_C_Car,Transport,Road Transport,Light vehicles,Light Commercial Vehicle,Internal Combustion Engine,Internal Combustion Engine (LPG)
Demand,T_C_CICELPG_HIGH,T_C_Car,Transport,Road Transport,Light vehicles,Light Commercial Vehicle,Internal Combustion Engine,Internal Combustion Engine (LPG)
Demand,T_P_MICEPET_LOW,T_P_Mcy,Transport,Road Transport,Motorcycle,Motorcycle,Internal Combustion Engine,Internal Combustion Engine (Petrol)
Demand,T_P_MICEPET_MED,T_P_Mcy,Transport,Road Transport,Motorcycle,Motorcycle,Internal Combustion Engine,Internal Combustion Engine (Petrol)
Demand,T_P_MICEPET_HIGH,T_P_Mcy,Transport,Road Transport,Motorcycle,Motorcycle,Internal Combustion Engine,Internal Combustion Engine (Petrol)
Demand,T_P_MBEVELC_LOW,T_P_Mcy,Transport,Road Transport,Motorcycle,Motorcycle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_P_MBEVELC_MED,T_P_Mcy,Transport,Road Transport,Motorcycle,Motorcycle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_P_MBEVELC_HIGH,T_P_Mcy,Transport,Road Transport,Motorcycle,Motorcycle,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_P_BICEPET_LOW,T_P_Bus,Transport,Road Transport,Bus,Bus,Internal Combustion Engine,Internal Combustion Engine (Petrol)
Demand,T_P_BICEPET_MED,T_P_Bus,Transport,Road Transport,Bus,Bus,Internal Combustion Engine,Internal Combustion Engine (Petrol)
Demand,T_P_BICEPET_HIGH,T_P_Bus,Transport,Road Transport,Bus,Bus,Internal Combustion Engine,Internal Combustion Engine (Petrol)
Demand,T_P_BICEDSL_LOW,T_P_Bus,Transport,Road Transport,Bus,Bus,Internal Combustion Engine,Internal Combustion Engine (Diesel)
Demand,T_P_BICEDSL_MED,T_P_Bus,Transport,Road Transport,Bus,Bus,Internal Combustion Engine,Internal Combustion Engine (Diesel)
Demand,T_P_BICEDSL_HIGH,T_P_Bus,Transport,Road Transport,Bus,Bus,Internal Combustion Engine,Internal Combustion Engine (Diesel)
Demand,T_P_BICELPG_LOW,T_P_Bus,Transport,Road Transport,Bus,Bus,Internal Combustion Engine,Internal Combustion Engine (LPG)
Demand,T_P_BICELPG_MED,T_P_Bus,Transport,Road Transport,Bus,Bus,Internal Combustion Engine,Internal Combustion Engine (LPG)
Demand,T_P_BICELPG_HIGH,T_P_Bus,Transport,Road Transport,Bus,Bus,Internal Combustion Engine,Internal Combustion Engine (LPG)
Demand,T_P_BBEVELC_LOW,T_P_Bus,Transport,Road Transport,Bus,Bus,Battery Electric Vehicle,Battery Electric Vehicle
Demand,T_P_BBEVELC_MED,T_P_Bus,Transport,Road Transport,Bus,Bus,Battery Electric Vehicle,Battery Electric Vehicle
